d, GPU-merge_small, GPU-merge_big-single_thread_partition, GPU-merge_big-multi_thread_partition, CPU 
4, 4330.2, 4017.1, 4025.5,130.2
8, 3963.2, 3975.8, 3952.7,257.8
16, 4132.8, 4807.2, 4093.4,499
32, 3996.5, 4076.4, 4089.9,989.8
64, 3993.3, 4101, 4158.7,1990.8
128, 4262.4, 4094.7, 4107.3,3656.9
256, 3988.9, 4144.2, 4101.1,7622.2
512, 3991, 3952.9, 4088.6,14728.5
1024, 4168.8, 4330.6, 4093.4,32309.4
2048, , 3974.6, 4249.8,68814.3
4096, , 4255.7, 3992.2,143210
8192, , 4040.2, 4158.2,289801
16384, , 3984.9, 4063,595924
32768, , 3997.6, 4014.7,1.21498e+06
65536, , 4204.9, 4210,2.48595e+06
131072, , 4081.6, 4025.4,5.15698e+06
262144, , 4538.5, 4071.2,1.07116e+07
524288, , 4075.4, 4040.2,2.28782e+07
1048576, , 4226.4, 4198.3,4.69519e+07
