d, GPU-merge_small, GPU-merge_big-single_thread_partition, GPU-merge_big-multi_thread_partition, CPU 
4, 3834.8, 3869, 3988.5,166.2
8, 3858.2, 3836.5, 3923.2,222.3
16, 3872.8, 3847.6, 3815.1,443.4
32, 3840.2, 3732, 3919,1107
64, 3842.9, 3845.5, 3892.4,1893.2
128, 3809.8, 3817.9, 3867.8,3557.1
256, 3826.6, 3824.8, 3908.7,7072.8
512, 3988.6, 3930.7, 3813,14038.4
1024, 3870.3, 3829.7, 3901.5,41663.5
2048, , 4092.4, 3909.7,104311
4096, , 5218.9, 4046.2,243462
8192, , 4086.3, 3906.4,472971
16384, , 5384.6, 3968.5,971215
32768, , 5023.4, 3929.5,1.95377e+06
65536, , 5722.2, 3892.3,4.02405e+06
131072, , 3744.8, 3880.9,7.96468e+06
262144, , 4460.2, 4067.8,1.60655e+07
524288, , 4224.7, 3882.2,3.22615e+07
1048576, , 3987.2, 3944,6.51443e+07
