d,GPU-ST_partition,GPU-MT_partition,CPU 
4,1501.24,1510.74,148.602
8,1500.6,1505.85,288.446
16,1497.78,1504.81,499.154
32,1503.6,1501.21,1004.19
64,1506.35,1502.78,2016.82
128,1502.1,1504.91,3974.55
256,1499.28,1510.44,7947.74
512,1501.4,1502.93,16010.7
1024,1501.64,1505.26,35195.5
2048,1506.62,1509.7,88953.1
4096,1500.82,1507.52,236338
8192,1500.9,1507.57,534560
16384,1500.94,1505.23,1.14E+06
32768,1505.15,1507.25,2.33E+06
65536,1501.6,1507.94,4.65E+06
131072,1497.67,1505.63,9.23E+06
262144,1499.99,1504.39,1.86E+07
524288,1500.51,1503.26,3.75E+07
1048576,1503.99,1510.91,7.76E+07
