d, GPU-merge_small, GPU-merge_big-single_thread_partition, GPU-merge_big-multi_thread_partition, CPU 
4, 1507.26, 1523.06, 1517.74,149.026
8, 1514.02, 1511.44, 1516.06,314.071
16, 1506.55, 1507.54, 1518.63,496.397
32, 1502.48, 1513.67, 1484.7,989.339
64, 1508.13, 1512.1, 1543.84,1943.51
128, 1507.15, 1498.54, 1504.8,3865.26
256, 1500.96, 1509.39, 1543.01,7698.16
512, 1504.86, 1511.23, 1507.91,15461.4
1024, 1499.47, 1508.03, 1544.15,33917.3
2048, , 1509.63, 1544.14,90868.5
4096, , 1503.21, 1549.92,228222
8192, , 1510.96, 1544.88,513635
16384, , 1505.32, 1506.24,1.13419e+06
32768, , 1507.08, 1545.09,2.31222e+06
65536, , 1509, 1542.36,4.5614e+06
131072, , 1510.09, 1541.22,9.3539e+06
262144, , 1504.04, 1537.44,1.85606e+07
524288, , 1504.87, 1547.25,3.68889e+07
1048576, , 1510.38, 1527.81,7.55569e+07
