d, GPU-merge_small, GPU-merge_big-single_thread_partition, GPU-merge_big-multi_thread_partition, CPU 
4, 1476.05, 1496.5, 1495.75,171.845
8, 1473.6, 1500.37, 1496.46,283.839
16, 1479.6, 1501.37, 1512.82,518.861
32, 1485.8, 1499.45, 1537.65,1006.54
64, 1500.13, 1501.29, 1500.95,1928.12
128, 1486.5, 1496.14, 1499.95,3716.86
256, 1489.78, 1493.79, 1493.6,7551.23
512, 1472.03, 1500.17, 1497.15,15882.7
1024, 1481.85, 1500.73, 1490.84,34610.1
2048, , 1496.03, 1494.24,90776.3
4096, , 1505.72, 1493.21,241751
8192, , 1501.31, 1506.57,546286
16384, , 1496.77, 1512.8,1.14497e+06
32768, , 1501.08, 1507.58,2.32839e+06
65536, , 1495.27, 1498.37,4.65308e+06
131072, , 1496, 1507.32,9.39986e+06
262144, , 1493.82, 1503.96,1.88042e+07
524288, , 1499.64, 1512.7,3.90687e+07
1048576, , 1607.89, 1513.21,7.86506e+07
