d, GPU-merge_small, GPU-merge_big-single_thread_partition, GPU-merge_big-multi_thread_partition, CPU 
4, 1466.8, 1566.7, 1554.2,148.9
8, 1564.1, 1591.8, 1524.9,299.8
16, 1532.6, 1523.9, 1489.9,468.1
32, 1562.5, 1531.7, 1485.2,1020.6
64, 1557.2, 1558.6, 1497.5,2104.7
128, 1561.6, 1546, 1473.8,3530.3
256, 1553.7, 1523.4, 1474.9,6841.4
512, 1543.5, 1682.9, 1465.4,13856.5
1024, 1578, 1534.2, 1531.4,40164.9
2048, , 2172.3, 1558.5,99799
4096, , 1549.7, 1521.4,221328
8192, , 1527.9, 1521.9,463778
16384, , 1567.7, 1515.8,940819
32768, , 1540.6, 1555.2,1.93597e+06
65536, , 1536.1, 1519.6,3.87833e+06
131072, , 1548.9, 1488.1,7.96376e+06
262144, , 1552.6, 1494.6,1.61041e+07
524288, , 1557.2, 1551.3,3.1777e+07
1048576, , 1523.3, 1637.2,6.65807e+07
